Statistical profiling result from isolate-0x36f0a00-v8.log, (12377 ticks, 236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.1%    0.1%  Builtin: ArrayMap
      6    0.0%    0.0%  Stub: StringAddStub
      6    0.0%    0.0%  LazyCompile: *exports.gauss /home/ubuntu/workspace/arras.io/src/server/lib/random.js:26:17
      6    0.0%    0.0%  LazyCompile: *entities.map.instance /home/ubuntu/workspace/arras.io/src/server/server.js:4485:24
      6    0.0%    0.0%  LazyCompile: *arr.forEach /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:74:15
      6    0.0%    0.0%  Function: ~recoil /home/ubuntu/workspace/arras.io/src/server/server.js:1125:8
      6    0.0%    0.0%  Function: ~my /home/ubuntu/workspace/arras.io/src/server/server.js:1360:9
      6    0.0%    0.0%  Function: ~live /home/ubuntu/workspace/arras.io/src/server/server.js:1156:6
      6    0.0%    0.0%  Function: ~gazeUpon /home/ubuntu/workspace/arras.io/src/server/server.js:3333:17
      6    0.0%    0.0%  Function: ~face /home/ubuntu/workspace/arras.io/src/server/server.js:1982:6
      6    0.0%    0.0%  Function: ~exports.decode.raw /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:122:9
      6    0.0%    0.0%  Function: ~emitBeforeScript async_hooks.js:418:26
      6    0.0%    0.0%  Function: ~check /home/ubuntu/workspace/arras.io/src/server/server.js:3312:19
      6    0.0%    0.0%  Function: ~camera /home/ubuntu/workspace/arras.io/src/server/server.js:1815:8
      6    0.0%    0.0%  Function: ~advancedCollide /home/ubuntu/workspace/arras.io/src/server/server.js:3875:27
      6    0.0%    0.0%  Function: ~_tickCallback internal/process/next_tick.js:151:25
      6    0.0%    0.0%  Function: ~Entity.getAABB.updateAABB.active /home/ubuntu/workspace/arras.io/src/server/server.js:1558:22
      6    0.0%    0.0%  Builtin: JSEntryTrampoline
      5    0.0%    0.0%  LazyCompile: *update /home/ubuntu/workspace/arras.io/src/server/server.js:932:8
      5    0.0%    0.0%  LazyCompile: *move /home/ubuntu/workspace/arras.io/src/server/server.js:1876:6
      5    0.0%    0.0%  LazyCompile: *isDead /home/ubuntu/workspace/arras.io/src/server/server.js:2210:8
      5    0.0%    0.0%  LazyCompile: *check /home/ubuntu/workspace/arras.io/src/server/server.js:3330:14
      5    0.0%    0.0%  LazyCompile: *ARC4.me.g /home/ubuntu/workspace/arras.io/node_modules/seedrandom/seedrandom.js:134:19
      5    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot
      5    0.0%    0.0%  Function: ~update_RECOMPUTE /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:2:27
      5    0.0%    0.0%  Builtin: StringCharCodeAt
      5    0.0%    0.0%  Builtin: CompileLazy
      4    0.0%    0.0%  LazyCompile: *think /home/ubuntu/workspace/arras.io/src/server/server.js:286:7
      4    0.0%    0.0%  LazyCompile: *room.isIn /home/ubuntu/workspace/arras.io/src/server/server.js:178:13
      4    0.0%    0.0%  LazyCompile: *get realSize /home/ubuntu/workspace/arras.io/src/server/server.js:1806:14
      4    0.0%    0.0%  LazyCompile: *entities.map.e /home/ubuntu/workspace/arras.io/src/server/server.js:515:26
      4    0.0%    0.0%  LazyCompile: *check /home/ubuntu/workspace/arras.io/src/server/server.js:1503:12
      4    0.0%    0.0%  LazyCompile: *HSHG.removeObject /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:78:40
      4    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {1}
      4    0.0%    0.0%  Function: ~tickDone internal/process/next_tick.js:88:20
      4    0.0%    0.0%  Function: ~think /home/ubuntu/workspace/arras.io/src/server/server.js:308:7
      4    0.0%    0.0%  Function: ~move /home/ubuntu/workspace/arras.io/src/server/server.js:1876:6
      4    0.0%    0.0%  Function: ~mapthevisiblerealm /home/ubuntu/workspace/arras.io/src/server/server.js:3371:60
      4    0.0%    0.0%  Function: ~get size /home/ubuntu/workspace/arras.io/src/server/server.js:1799:10
      4    0.0%    0.0%  Function: ~entitiesLiveLoop /home/ubuntu/workspace/arras.io/src/server/server.js:4096:27
      4    0.0%    0.0%  Function: ~entitiesActivationLoop /home/ubuntu/workspace/arras.io/src/server/server.js:4091:33
      4    0.0%    0.0%  Function: ~chunkInvalid _stream_readable.js:282:22
      4    0.0%    0.0%  Function: ~Grid.addObject /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:212:37
      4    0.0%    0.0%  Builtin: MathMin
      3    0.0%    0.0%  LazyCompile: *regenerate /home/ubuntu/workspace/arras.io/src/server/server.js:1424:12
      3    0.0%    0.0%  LazyCompile: *refreshBodyAttributes /home/ubuntu/workspace/arras.io/src/server/server.js:1759:23
      3    0.0%    0.0%  LazyCompile: *entities.forEach /home/ubuntu/workspace/arras.io/src/server/server.js:3503:24
      3    0.0%    0.0%  LazyCompile: *data.map.d /home/ubuntu/workspace/arras.io/src/server/server.js:3433:26
      3    0.0%    0.0%  LazyCompile: *Entity.getAABB /home/ubuntu/workspace/arras.io/src/server/server.js:1582:11
      3    0.0%    0.0%  Function: ~toArrayBuffer /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Receiver.js:547:24
      3    0.0%    0.0%  Function: ~tally /home/ubuntu/workspace/arras.io/src/server/server.js:2261:12
      3    0.0%    0.0%  Function: ~remove internal/linkedlist.js:15:16
      3    0.0%    0.0%  Function: ~placeNewFood /home/ubuntu/workspace/arras.io/src/server/server.js:4373:22
      3    0.0%    0.0%  Function: ~nextTick internal/process/next_tick.js:245:20
      3    0.0%    0.0%  Function: ~my.turrets.forEach.turret /home/ubuntu/workspace/arras.io/src/server/server.js:1391:22
      3    0.0%    0.0%  Function: ~makefood /home/ubuntu/workspace/arras.io/src/server/server.js:4463:10
      3    0.0%    0.0%  Function: ~location /home/ubuntu/workspace/arras.io/src/server/server.js:2060:10
      3    0.0%    0.0%  Function: ~listOnTimeout timers.js:205:23
      3    0.0%    0.0%  Function: ~hasBufferedBytes /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Receiver.js:121:20
      3    0.0%    0.0%  Function: ~guns.guns.map.gun /home/ubuntu/workspace/arras.io/src/server/server.js:1839:24
      3    0.0%    0.0%  Function: ~getTracking /home/ubuntu/workspace/arras.io/src/server/server.js:1276:13
      3    0.0%    0.0%  Function: ~getInfo /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Receiver.js:178:11
      3    0.0%    0.0%  Function: ~fire /home/ubuntu/workspace/arras.io/src/server/server.js:1193:6
      3    0.0%    0.0%  Function: ~exports.loopSmooth /home/ubuntu/workspace/arras.io/src/server/lib/util.js:27:22
      3    0.0%    0.0%  Function: ~exports.angleDifference /home/ubuntu/workspace/arras.io/src/server/lib/util.js:22:9
      3    0.0%    0.0%  Function: ~emit events.js:155:44
      3    0.0%    0.0%  Function: ~collision /home/ubuntu/workspace/arras.io/src/server/server.js:4042:10
      3    0.0%    0.0%  Function: ~bleed /home/ubuntu/workspace/arras.io/src/server/server.js:1024:7
      3    0.0%    0.0%  Function: ~arr.forEach /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:74:15
      3    0.0%    0.0%  Function: ~append internal/linkedlist.js:29:16
      3    0.0%    0.0%  Function: ~adjustOffset buffer.js:941:22
      3    0.0%    0.0%  Function: ~_ultron.on /home/ubuntu/workspace/arras.io/node_modules/ws/lib/WebSocket.js:136:29
      3    0.0%    0.0%  Function: ~Uint8Array native typedarray.js:158:31
      3    0.0%    0.0%  Function: ~HSHG.queryForCollisionPairs /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:95:50
      3    0.0%    0.0%  Function: ~HSHG.addObject /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:35:37
      3    0.0%    0.0%  Function: ~Entity.addToGrid /home/ubuntu/workspace/arras.io/src/server/server.js:1481:20
      3    0.0%    0.0%  Builtin: JSConstructStubGenericUnrestrictedReturn
      3    0.0%    0.0%  Builtin: GrowFastSmiOrObjectElements
      3    0.0%    0.0%  Builtin: ArrayIteratorPrototypeNext
      3    0.0%    0.0%  Builtin: AddWithFeedback
      2    0.0%    0.0%  Stub: ElementsTransitionAndStoreStub
      2    0.0%    0.0%  StoreIC: A store IC from the snapshot {3}
      2    0.0%    0.0%  LazyCompile: *typeEncoder /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:10:17
      2    0.0%    0.0%  LazyCompile: *think /home/ubuntu/workspace/arras.io/src/server/server.js:308:7
      2    0.0%    0.0%  LazyCompile: *minimap.findIndex.entry /home/ubuntu/workspace/arras.io/src/server/server.js:2188:29
      2    0.0%    0.0%  LazyCompile: *mapthevisiblerealm /home/ubuntu/workspace/arras.io/src/server/server.js:3371:60
      2    0.0%    0.0%  LazyCompile: *flatten /home/ubuntu/workspace/arras.io/src/server/server.js:3269:21
      2    0.0%    0.0%  LazyCompile: *exports.random.x /home/ubuntu/workspace/arras.io/src/server/lib/random.js:8:18
      2    0.0%    0.0%  LazyCompile: *exports.encode /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:71:9
      2    0.0%    0.0%  LazyCompile: *entities.filter.e /home/ubuntu/workspace/arras.io/src/server/server.js:1343:29
      2    0.0%    0.0%  LazyCompile: *define /home/ubuntu/workspace/arras.io/src/server/server.js:1597:8
      2    0.0%    0.0%  LazyCompile: *chooseFurthest /home/ubuntu/workspace/arras.io/src/server/server.js:2387:33
      2    0.0%    0.0%  LazyCompile: *SpreadIterable native spread.js:17:24
      2    0.0%    0.0%  LazyCompile: *Entity.removeFromGrid /home/ubuntu/workspace/arras.io/src/server/server.js:1475:25
      2    0.0%    0.0%  Handler: An IC handler from the snapshot
      2    0.0%    0.0%  Function: ~update /home/ubuntu/workspace/arras.io/src/server/server.js:3095:21
      2    0.0%    0.0%  Function: ~update /home/ubuntu/workspace/arras.io/src/server/server.js:3054:16
      2    0.0%    0.0%  Function: ~update /home/ubuntu/workspace/arras.io/src/server/server.js:3006:16
      2    0.0%    0.0%  Function: ~typeEncoder /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:10:17
      2    0.0%    0.0%  Function: ~typeDecoder /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:97:17
      2    0.0%    0.0%  Function: ~startLoop /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Receiver.js:147:13
      2    0.0%    0.0%  Function: ~socket.talk.message /home/ubuntu/workspace/arras.io/src/server/server.js:3783:19
      2    0.0%    0.0%  Function: ~send /home/ubuntu/workspace/arras.io/node_modules/ws/lib/WebSocket.js:352:8
      2    0.0%    0.0%  Function: ~send /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Sender.js:266:8
      2    0.0%    0.0%  Function: ~room.isIn /home/ubuntu/workspace/arras.io/src/server/server.js:178:13
      2    0.0%    0.0%  Function: ~reuse timers.js:350:15
      2    0.0%    0.0%  Function: ~reset /home/ubuntu/workspace/arras.io/src/server/server.js:923:7
      2    0.0%    0.0%  Function: ~removeListener events.js:356:28
      2    0.0%    0.0%  Function: ~push internal/process/next_tick.js:20:7
      2    0.0%    0.0%  Function: ~placeRoids /home/ubuntu/workspace/arras.io/src/server/server.js:4140:21
      2    0.0%    0.0%  Function: ~physics /home/ubuntu/workspace/arras.io/src/server/server.js:2033:9
