Statistical profiling result from isolate-0x36f0a00-v8.log, (12377 ticks, 236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ~isInRoom /home/ubuntu/workspace/arras.io/src/server/server.js:100:12
      1    0.0%    0.0%  Function: ~io_doNothing /home/ubuntu/workspace/arras.io/src/server/server.js:282:13
      1    0.0%    0.0%  Function: ~internalmap.filter.e /home/ubuntu/workspace/arras.io/src/server/server.js:3447:38
      1    0.0%    0.0%  Function: ~inherits util.js:959:18
      1    0.0%    0.0%  Function: ~haveLength /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Receiver.js:288:14
      1    0.0%    0.0%  Function: ~goog.typeOf /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/base.js:1708:23
      1    0.0%    0.0%  Function: ~goog.structs.PriorityQueue.enqueue /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/structs/priorityqueue.js:54:56
      1    0.0%    0.0%  Function: ~goog.structs.PriorityQueue /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/structs/priorityqueue.js:42:38
      1    0.0%    0.0%  Function: ~goog.structs.Node.getKey /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/structs/node.js:52:46
      1    0.0%    0.0%  Function: ~goog.structs.Node /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/structs/node.js:33:29
      1    0.0%    0.0%  Function: ~goog.structs.Heap.moveUp_ /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/structs/heap.js:196:47
      1    0.0%    0.0%  Function: ~goog.structs.Heap.moveDown_ /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/structs/heap.js:160:49
      1    0.0%    0.0%  Function: ~goog.structs.Heap.getLeftChildIndex_ /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/structs/heap.js:221:58
      1    0.0%    0.0%  Function: ~goog.isArray /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/base.js:1827:24
      1    0.0%    0.0%  Function: ~getfull /home/ubuntu/workspace/arras.io/src/server/server.js:3582:24
      1    0.0%    0.0%  Function: ~getLongestAABBEdge /home/ubuntu/workspace/arras.io/src/server/lib/hshg.js:23:29
      1    0.0%    0.0%  Function: ~getLastShot /home/ubuntu/workspace/arras.io/src/server/server.js:1153:13
      1    0.0%    0.0%  Function: ~get m_y /home/ubuntu/workspace/arras.io/src/server/server.js:1812:9
      1    0.0%    0.0%  Function: ~fromArrayBuffer buffer.js:331:25
      1    0.0%    0.0%  Function: ~friction /home/ubuntu/workspace/arras.io/src/server/server.js:2049:10
      1    0.0%    0.0%  Function: ~flow _stream_readable.js:846:14
      1    0.0%    0.0%  Function: ~flatten /home/ubuntu/workspace/arras.io/src/server/server.js:3419:24
      1    0.0%    0.0%  Function: ~flatten /home/ubuntu/workspace/arras.io/src/server/server.js:3269:21
      1    0.0%    0.0%  Function: ~exports.unenroll timers.js:367:45
      1    0.0%    0.0%  Function: ~exports.irandom.i /home/ubuntu/workspace/arras.io/src/server/lib/random.js:17:19
      1    0.0%    0.0%  Function: ~exports.getDistance /home/ubuntu/workspace/arras.io/src/server/lib/util.js:8:31
      1    0.0%    0.0%  Function: ~exports.gaussRing /home/ubuntu/workspace/arras.io/src/server/lib/random.js:43:21
      1    0.0%    0.0%  Function: ~exports.encode /home/ubuntu/workspace/arras.io/src/server/lib/fasttalk.js:71:9
      1    0.0%    0.0%  Function: ~exports.clearTimeout timers.js:504:53
      1    0.0%    0.0%  Function: ~exports.chance.prob /home/ubuntu/workspace/arras.io/src/server/lib/random.js:51:18
      1    0.0%    0.0%  Function: ~exports.active timers.js:138:41
      1    0.0%    0.0%  Function: ~exportDefintionsToClient /home/ubuntu/workspace/arras.io/src/server/server.js:2286:30
      1    0.0%    0.0%  Function: ~entities.map.filter /home/ubuntu/workspace/arras.io/src/server/server.js:521:13
      1    0.0%    0.0%  Function: ~entities.forEach.instance /home/ubuntu/workspace/arras.io/src/server/server.js:1861:21
      1    0.0%    0.0%  Function: ~entities.filter.e /home/ubuntu/workspace/arras.io/src/server/server.js:1343:29
      1    0.0%    0.0%  Function: ~emitTwo events.js:123:17
      1    0.0%    0.0%  Function: ~dirname path.js:1365:28
      1    0.0%    0.0%  Function: ~dataMessage /home/ubuntu/workspace/arras.io/node_modules/ws/lib/Receiver.js:359:15
      1    0.0%    0.0%  Function: ~data.guns.forEach.lastShot /home/ubuntu/workspace/arras.io/src/server/server.js:3293:24
      1    0.0%    0.0%  Function: ~data.forEach.d /home/ubuntu/workspace/arras.io/src/server/server.js:3440:23
      1    0.0%    0.0%  Function: ~createSingleTimeout timers.js:448:29
      1    0.0%    0.0%  Function: ~clear internal/process/next_tick.js:42:8
      1    0.0%    0.0%  Function: ~checkingFunction /home/ubuntu/workspace/arras.io/src/server/server.js:2457:29
      1    0.0%    0.0%  Function: ~checkInvalidHeaderChar _http_common.js:331:32
      1    0.0%    0.0%  Function: ~cancelUpdate /home/ubuntu/workspace/arras.io/src/server/server.js:3758:21
      1    0.0%    0.0%  Function: ~basename path.js:1394:30
      1    0.0%    0.0%  Function: ~arr.reduce /home/ubuntu/workspace/arras.io/src/server/lib/util.js:49:23
      1    0.0%    0.0%  Function: ~apply /home/ubuntu/workspace/arras.io/src/server/server.js:943:17
      1    0.0%    0.0%  Function: ~addChunk _stream_readable.js:264:18
      1    0.0%    0.0%  Function: ~_combinedTickCallback internal/process/next_tick.js:129:33
      1    0.0%    0.0%  Function: ~_addListener events.js:232:22
      1    0.0%    0.0%  Function: ~Timeout.close timers.js:625:35
      1    0.0%    0.0%  Function: ~TickObject internal/process/next_tick.js:234:16
      1    0.0%    0.0%  Function: ~SpreadArguments native spread.js:5:25
      1    0.0%    0.0%  Function: ~Socket._read net.js:471:34
      1    0.0%    0.0%  Function: ~Skill /home/ubuntu/workspace/arras.io/src/server/server.js:888:13
      1    0.0%    0.0%  Function: ~ReadableState _stream_readable.js:61:23
      1    0.0%    0.0%  Function: ~Module._load module.js:443:24
      1    0.0%    0.0%  Function: ~Module._findPath module.js:172:28
      1    0.0%    0.0%  Function: ~Gun /home/ubuntu/workspace/arras.io/src/server/server.js:1058:13
      1    0.0%    0.0%  Function: ~Entity.removeFromGrid /home/ubuntu/workspace/arras.io/src/server/server.js:1475:25
      1    0.0%    0.0%  Function: ~Entity.getAABB /home/ubuntu/workspace/arras.io/src/server/server.js:1582:11
      1    0.0%    0.0%  Function: ~Entity.activation /home/ubuntu/workspace/arras.io/src/server/server.js:1487:22
      1    0.0%    0.0%  Function: ~<anonymous> :1:2
      1    0.0%    0.0%  Function: ~<anonymous> /home/ubuntu/workspace/arras.io/src/server/server.js:2305:30
      1    0.0%    0.0%  Function: ~<anonymous> /home/ubuntu/workspace/arras.io/node_modules/google-closure-library/closure/goog/deps.js:1:11
      1    0.0%    0.0%  Builtin: TypedArrayConstructByArrayBuffer
      1    0.0%    0.0%  Builtin: Subtract
      1    0.0%    0.0%  Builtin: StringPrototypeSlice
      1    0.0%    0.0%  Builtin: StringEqual
      1    0.0%    0.0%  Builtin: RegExpReplace
      1    0.0%    0.0%  Builtin: NonNumberToNumber
      1    0.0%    0.0%  Builtin: MathRound
      1    0.0%    0.0%  Builtin: MathMax
      1    0.0%    0.0%  Builtin: MathFloor
      1    0.0%    0.0%  Builtin: LoadIC_Uninitialized
      1    0.0%    0.0%  Builtin: LoadICProtoArray
      1    0.0%    0.0%  Builtin: GrowFastDoubleElements
      1    0.0%    0.0%  Builtin: FunctionPrototypeCall
      1    0.0%    0.0%  Builtin: FastCloneShallowArrayDontTrack
      1    0.0%    0.0%  Builtin: Divide
      1    0.0%    0.0%  Builtin: CallWithSpread
      1    0.0%    0.0%  Builtin: ArrayShift
      1    0.0%    0.0%  Builtin: ArrayIncludes
      1    0.0%    0.0%  Builtin: Apply
      1    0.0%    0.0%  Builtin: Add {1}

 [C++]:
   ticks  total  nonlib   name
   3701   29.9%   30.4%  __write
   2793   22.6%   22.9%  syscall
    144    1.2%    1.2%  node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     63    0.5%    0.5%  void node::StreamBase::JSMethod<node::StreamWrap, &node::StreamBase::WriteBuffer>(v8::FunctionCallbackInfo<v8::Value> const&)
     43    0.3%    0.4%  v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*)
     40    0.3%    0.3%  v8::internal::Scavenger::CheckAndScavengeObject(v8::internal::Heap*, unsigned char*) [clone .isra.574]
     39    0.3%    0.3%  _IO_vfprintf
     38    0.3%    0.3%  uv_timer_start
     26    0.2%    0.2%  v8::internal::Deoptimizer::VisitAllOptimizedFunctionsForContext(v8::internal::Context*, v8::internal::OptimizedFunctionVisitor*)
     21    0.2%    0.2%  v8::internal::JSObjectWalkVisitor<v8::internal::AllocationSiteUsageContext>::StructureWalk(v8::internal::Handle<v8::internal::JSObject>)
     21    0.2%    0.2%  __lll_lock_wait
     20    0.2%    0.2%  uv_timer_stop
     20    0.2%    0.2%  _IO_fwrite
     19    0.2%    0.2%  __madvise
     18    0.1%    0.1%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
     18    0.1%    0.1%  node::(anonymous namespace)::TimerWrap::Now(v8::FunctionCallbackInfo<v8::Value> const&)
     16    0.1%    0.1%  v8::internal::compiler::GraphReducer::ReduceTop()
     16    0.1%    0.1%  v8::Value::IsFunction() const
     16    0.1%    0.1%  v8::Context::Exit()
     16    0.1%    0.1%  v8::Context::Enter()
     16    0.1%    0.1%  _IO_default_xsputn
     14    0.1%    0.1%  v8::Object::Get(v8::Local<v8::Context>, unsigned int)
     14    0.1%    0.1%  node::InternalCallbackScope::Close()
     14    0.1%    0.1%  __GI___pthread_mutex_lock
     13    0.1%    0.1%  v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<true>(v8::internal::Map*, v8::internal::JSReceiver*) [clone .part.77]
     13    0.1%    0.1%  __pthread_cond_signal
     12    0.1%    0.1%  v8::internal::ScavengeWeakObjectRetainer::RetainAs(v8::internal::Object*)
     12    0.1%    0.1%  v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
     12    0.1%    0.1%  node::InternalCallbackScope::InternalCallbackScope(node::Environment*, v8::Local<v8::Object>, node::async_context const&)
     11    0.1%    0.1%  v8::internal::Object* v8::internal::VisitWeakList<v8::internal::JSFunction>(v8::internal::Heap*, v8::internal::Object*, v8::internal::WeakObjectRetainer*)
     11    0.1%    0.1%  v8::internal::Heap::Scavenge()
     11    0.1%    0.1%  v8::internal::HandleScope::Extend(v8::internal::Isolate*)
     11    0.1%    0.1%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::GetEntryForIndex(v8::internal::Isolate*, v8::internal::JSObject*, v8::internal::FixedArrayBase*, unsigned int)
     11    0.1%    0.1%  v8::Isolate::GetCurrentContext()
     10    0.1%    0.1%  v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
     10    0.1%    0.1%  v8::internal::FlexibleBodyVisitor<v8::internal::StaticScavengeVisitor, v8::internal::FlexibleBodyDescriptor<16>, int>::Visit(v8::internal::Map*, v8::internal::HeapObject*)
     10    0.1%    0.1%  v8::Object::InternalFieldCount()
     10    0.1%    0.1%  uv__hrtime
     10    0.1%    0.1%  strchrnul
      9    0.1%    0.1%  v8::internal::Accessors::ArrayLengthSetter(v8::Local<v8::Name>, v8::Local<v8::Value>, v8::PropertyCallbackInfo<v8::Boolean> const&)
      9    0.1%    0.1%  v8::Value::IsExternal() const
      9    0.1%    0.1%  v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)
      9    0.1%    0.1%  v8::EscapableHandleScope::EscapableHandleScope(v8::Isolate*)
      9    0.1%    0.1%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      8    0.1%    0.1%  v8::HandleScope::~HandleScope()
      8    0.1%    0.1%  _IO_file_xsputn
      7    0.1%    0.1%  void v8::internal::LookupIterator::Start<true>()
      7    0.1%    0.1%  v8::internal::compiler::Node::New(v8::internal::Zone*, unsigned int, v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
      7    0.1%    0.1%  v8::internal::JSObject::GetElementsAccessor()
      7    0.1%    0.1%  v8::internal::IterateAndScavengePromotedObjectsVisitor::VisitPointers(v8::internal::HeapObject*, v8::internal::Object**, v8::internal::Object**)
      7    0.1%    0.1%  v8::internal::Isolate::RunMicrotasks()
      7    0.1%    0.1%  v8::internal::Isolate::FireCallCompletedCallback()
      7    0.1%    0.1%  v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
      7    0.1%    0.1%  v8::internal::FlexibleBodyVisitor<v8::internal::StaticScavengeVisitor, v8::internal::JSObject::FastBodyDescriptor, int>::Visit(v8::internal::Map*, v8::internal::HeapObject*)
      7    0.1%    0.1%  v8::base::ieee754::log(double)
      7    0.1%    0.1%  v8::Isolate::SuppressMicrotaskExecutionScope::SuppressMicrotaskExecutionScope(v8::Isolate*)
      7    0.1%    0.1%  v8::External::Value() const
      7    0.1%    0.1%  node::InternalModuleReadFile(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.1%    0.1%  node::InternalMakeCallback(node::Environment*, v8::Local<v8::Object>, v8::Local<v8::Function>, int, v8::Local<v8::Value>*, node::async_context)
      7    0.1%    0.1%  _IO_fflush
      6    0.0%    0.0%  v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<false>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::FunctionTemplateInfo>, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments)
      6    0.0%    0.0%  v8::internal::Log::MessageBuilder::WriteToLogFile()
      6    0.0%    0.0%  v8::internal::Heap::AllocateFixedArray(int, v8::internal::PretenureFlag)
      6    0.0%    0.0%  v8::HandleScope::HandleScope(v8::Isolate*)
      6    0.0%    0.0%  v8::(anonymous namespace)::CallDepthScope<false>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
      6    0.0%    0.0%  node::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.0%    0.0%  node::AsyncWrap::MakeCallback(v8::Local<v8::Function>, int, v8::Local<v8::Value>*)
      6    0.0%    0.0%  bool v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::SemiSpaceCopyObject<(v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
      5    0.0%    0.0%  v8::internal::compiler::CodeGenerator::AssembleInstruction(v8::internal::compiler::Instruction*, v8::internal::compiler::InstructionBlock const*)
      5    0.0%    0.0%  v8::internal::ThreadId::GetCurrentThreadId()
      5    0.0%    0.0%  v8::internal::SaveContext::SaveContext(v8::internal::Isolate*)
      5    0.0%    0.0%  v8::internal::Object::GetProperty(v8::internal::LookupIterator*)
      5    0.0%    0.0%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
      5    0.0%    0.0%  v8::internal::InnerPointerToCodeCache::GetCacheEntry(unsigned char*)
      5    0.0%    0.0%  v8::internal::Heap::DeoptMarkedAllocationSites()
      5    0.0%    0.0%  v8::internal::Heap::CopyJSObject(v8::internal::JSObject*, v8::internal::AllocationSite*)
      5    0.0%    0.0%  v8::internal::HandleScope::DeleteExtensions(v8::internal::Isolate*)
      5    0.0%    0.0%  v8::base::TimeTicks::HighResolutionNow()
      5    0.0%    0.0%  node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.0%    0.0%  __libc_malloc
      5    0.0%    0.0%  __clock_gettime
      5    0.0%    0.0%  __GI___pthread_getspecific
      4    0.0%    0.0%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
      4    0.0%    0.0%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)0, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
      4    0.0%    0.0%  void v8::internal::BodyDescriptorBase::IteratePointers<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::Heap*, v8::internal::HeapObject*, int, int)
      4    0.0%    0.0%  void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.0%    0.0%  v8::internal::compiler::NodeProperties::IsControlEdge(v8::internal::compiler::Edge)
      4    0.0%    0.0%  v8::internal::compiler::GraphTrimmer::TrimGraph()
      4    0.0%    0.0%  v8::internal::TranslationBuffer::Add(int)
      4    0.0%    0.0%  v8::internal::String::ToNumber(v8::internal::Handle<v8::internal::String>)
      4    0.0%    0.0%  v8::internal::Runtime_StoreCallbackProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      4    0.0%    0.0%  v8::internal::Runtime_SpreadIterableFixed(int, v8::internal::Object**, v8::internal::Isolate*)
      4    0.0%    0.0%  v8::internal::Runtime_CreateObjectLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
      4    0.0%    0.0%  v8::internal::Isolate::RunMicrotasksInternal()
      4    0.0%    0.0%  v8::internal::Heap::AllocateJSObjectFromMap(v8::internal::Map*, v8::internal::PretenureFlag, v8::internal::AllocationSite*)
      4    0.0%    0.0%  v8::internal::Heap::AdjustLiveBytes(v8::internal::HeapObject*, int)
      4    0.0%    0.0%  v8::internal::Dictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape, v8::internal::Handle<v8::internal::Name> >::Add(v8::internal::Handle<v8::internal::NameDictionary>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyDetails, int*)
      4    0.0%    0.0%  v8::internal::(anonymous namespace)::CopyDoubleToDoubleElements(v8::internal::FixedArrayBase*, unsigned int, v8::internal::FixedArrayBase*, unsigned int, int)
      4    0.0%    0.0%  v8::EscapableHandleScope::Escape(v8::internal::Object**)
      4    0.0%    0.0%  uv_update_time
      4    0.0%    0.0%  uv__io_poll
      4    0.0%    0.0%  node::Environment::StartProfilerIdleNotifier()::{lambda(uv_prepare_s*)#1}::_FUN(uv_prepare_s*)
      4    0.0%    0.0%  node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.0%    0.0%  mmap
      4    0.0%    0.0%  bool v8::internal::JSObject::UpdateAllocationSite<(v8::internal::AllocationSiteUpdateMode)0>(v8::internal::Handle<v8::internal::JSObject>, v8::internal::ElementsKind)
      4    0.0%    0.0%  __vsnprintf
      3    0.0%    0.0%  void v8::internal::LookupIterator::NextInternal<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      3    0.0%    0.0%  void node::StreamBase::JSMethod<node::StreamWrap, &(int node::StreamBase::WriteString<(node::encoding)4>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  v8::internal::compiler::InstructionSequence::GetSourcePosition(v8::internal::compiler::Instruction const*, v8::internal::SourcePosition*) const
      3    0.0%    0.0%  v8::internal::compiler::GraphReducer::Revisit(v8::internal::compiler::Node*)
      3    0.0%    0.0%  v8::internal::compiler::Graph::NewNode(v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
      3    0.0%    0.0%  v8::internal::compiler::GapResolver::PerformMove(v8::internal::compiler::ParallelMove*, v8::internal::compiler::MoveOperands*)
      3    0.0%    0.0%  v8::internal::compiler::CodeGenerator::TranslateFrameStateDescriptorOperands(v8::internal::compiler::FrameStateDescriptor*, v8::internal::compiler::InstructionOperandIterator*, v8::internal::compiler::OutputFrameStateCombine, v8::internal::Translation*)
      3    0.0%    0.0%  v8::internal::compiler::CodeGenerator::AssembleMove(v8::internal::compiler::InstructionOperand*, v8::internal::compiler::InstructionOperand*)
      3    0.0%    0.0%  v8::internal::compiler::CodeGenerator::AssembleArchInstruction(v8::internal::compiler::Instruction*)
      3    0.0%    0.0%  v8::internal::compiler::BytecodeLivenessMap::BytecodeLivenessMap(int, v8::internal::Zone*)
      3    0.0%    0.0%  v8::internal::compiler::BytecodeGraphBuilder::VisitBytecodes(bool)
      3    0.0%    0.0%  v8::internal::compiler::(anonymous namespace)::SourcePositionWrapper::Reduce(v8::internal::compiler::Node*)
      3    0.0%    0.0%  v8::internal::TimerEventScope<v8::internal::TimerEventExecute>::LogTimerEvent(v8::internal::Logger::StartEnd)
      3    0.0%    0.0%  v8::internal::String::IsOneByteEqualTo(v8::internal::Vector<unsigned char const>)
      3    0.0%    0.0%  v8::internal::String::ComputeAndSetHash()
      3    0.0%    0.0%  v8::internal::StoreBuffer::MoveEntriesToRememberedSet(int)
      3    0.0%    0.0%  v8::internal::Scanner::Scan()
      3    0.0%    0.0%  v8::internal::Scanner::Next()
      3    0.0%    0.0%  v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      3    0.0%    0.0%  v8::internal::PerIsolateAssertScope<(v8::internal::PerIsolateAssertType)0, true>::IsAllowed(v8::internal::Isolate*)
      3    0.0%    0.0%  v8::internal::ParserBase<v8::internal::Parser>::ParseAssignmentExpression(bool, bool*)
      3    0.0%    0.0%  v8::internal::Object::SetDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>)
      3    0.0%    0.0%  v8::internal::Object::NewStorageFor(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Representation)
      3    0.0%    0.0%  v8::internal::MemoryChunkIterator::next()
      3    0.0%    0.0%  v8::internal::Logger::ApiEntryCall(char const*)
      3    0.0%    0.0%  v8::internal::LoadICNexus::StateFromFeedback() const
      3    0.0%    0.0%  v8::internal::LoadIC::Load(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>)
      3    0.0%    0.0%  v8::internal::JSObject::FastPropertyAtPut(v8::internal::FieldIndex, v8::internal::Object*)
      3    0.0%    0.0%  v8::internal::JSObject::FastPropertyAt(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Representation, v8::internal::FieldIndex)
      3    0.0%    0.0%  v8::internal::JSObject::AddDataElement(v8::internal::Handle<v8::internal::JSObject>, unsigned int, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow)
      3    0.0%    0.0%  v8::internal::IC::UpdateState(v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>)
      3    0.0%    0.0%  v8::internal::Heap::DoScavenge(unsigned char*)
      3    0.0%    0.0%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      3    0.0%    0.0%  v8::internal::Heap::AllocateMap(v8::internal::InstanceType, int, v8::internal::ElementsKind)
      3    0.0%    0.0%  v8::internal::Heap::Allocate(v8::internal::Map*, v8::internal::AllocationSpace, v8::internal::AllocationSite*) [clone .constprop.673]
      3    0.0%    0.0%  v8::internal::CanonicalHandleScope::Lookup(v8::internal::Object*)
      3    0.0%    0.0%  v8::internal::AstValueFactory::GetString(unsigned int, bool, v8::internal::Vector<unsigned char const>)
      3    0.0%    0.0%  v8::internal::AllocationResult::AllocationResult(v8::internal::Object*)
      3    0.0%    0.0%  v8::internal::(anonymous namespace)::ElementsAccessorBase<v8::internal::(anonymous namespace)::FastHoleyObjectElementsAccessor, v8::internal::(anonymous namespace)::ElementsKindTraits<(v8::internal::ElementsKind)3> >::Get(v8::internal::Handle<v8::internal::JSObject>, unsigned int)
      3    0.0%    0.0%  v8::Object::Get(unsigned int)
      3    0.0%    0.0%  v8::Locker::IsActive()
      3    0.0%    0.0%  v8::Isolate::SuppressMicrotaskExecutionScope::~SuppressMicrotaskExecutionScope()
      3    0.0%    0.0%  v8::(anonymous namespace)::CallDepthScope<false>::~CallDepthScope()
      3    0.0%    0.0%  uv__run_check
      3    0.0%    0.0%  operator new(unsigned long)
      3    0.0%    0.0%  node::Open(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  node::AsyncWrap::PopAsyncIds(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  node::(anonymous namespace)::TimerWrap::Start(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.0%    0.0%  _IO_file_write
      2    0.0%    0.0%  void v8::internal::LookupIterator::Start<false>()
      2    0.0%    0.0%  v8::internal::interpreter::BytecodeArrayRandomIterator::IsValid() const
      2    0.0%    0.0%  v8::internal::compiler::TypedOptimization::Reduce(v8::internal::compiler::Node*)
      2    0.0%    0.0%  v8::internal::compiler::Type::SlowIs(v8::internal::compiler::Type*)
      2    0.0%    0.0%  v8::internal::compiler::Type::IsInteger(v8::internal::Object*)
      2    0.0%    0.0%  v8::internal::compiler::StateValuesCache::BuildTree(unsigned long*, v8::internal::compiler::Node**, unsigned long, v8::internal::BitVector const*, int, unsigned long)
      2    0.0%    0.0%  v8::internal::compiler::ParallelMove::IsRedundant() const
      2    0.0%    0.0%  v8::internal::compiler::OperatorProperties::HasContextInput(v8::internal::compiler::Operator const*)
      2    0.0%    0.0%  v8::internal::compiler::Operator::Operator(unsigned short, v8::base::Flags<v8::internal::compiler::Operator::Property, unsigned char>, char const*, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)
      2    0.0%    0.0%  v8::internal::compiler::NodeProperties::InferReceiverMaps(v8::internal::compiler::Node*, v8::internal::compiler::Node*, v8::internal::ZoneHandleSet<v8::internal::Map>*)
      2    0.0%    0.0%  v8::internal::compiler::LoopVariableOptimizer::Run()
      2    0.0%    0.0%  v8::internal::compiler::GraphReducer::Replace(v8::internal::compiler::Node*, v8::internal::compiler::Node*, unsigned int)
      2    0.0%    0.0%  v8::internal::compiler::GapResolver::Resolve(v8::internal::compiler::ParallelMove*)
      2    0.0%    0.0%  v8::internal::compiler::CodeGenerator::CodeGenerator(v8::internal::compiler::Frame*, v8::internal::compiler::Linkage*, v8::internal::compiler::InstructionSequence*, v8::internal::CompilationInfo*)
      2    0.0%    0.0%  v8::internal::compiler::CodeGenerator::AssembleCode()
      2    0.0%    0.0%  v8::internal::compiler::CodeGenerator::AssembleBlock(v8::internal::compiler::InstructionBlock const*)
      2    0.0%    0.0%  v8::internal::Zone::New(unsigned long)
      2    0.0%    0.0%  v8::internal::TransitionArray::Insert(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Map>, v8::internal::SimpleTransitionFlag)
